rank,username,puzzles_since_tracking,puzzles_total_now,puzzle_rating_now,puzzle_rating_progress,avg_bullet_blitz_rapid,storm_best_score,racer_best_score,first_seen,last_seen
84,fundragon,-528,101,1741,,1328.3,,,2026-03-24,2026-03-24
85,killeranaconda,-557,137,2942,,2609.0,,,2026-03-24,2026-03-24
86,liezilein,-582,79,2171,,1669.0,,,2026-03-24,2026-03-24
87,laura_dxn,-603,215,2706,,2026.0,,,2026-03-24,2026-03-24
88,fabiol11,-620,161,1494,,1196.3,,,2026-03-24,2026-03-24
89,feyre17,-639,168,2516,,2069.7,,,2026-03-24,2026-03-24
90,flohahn22,-650,72,2125,,1903.0,,,2026-03-24,2026-03-24
91,milo_2016,-763,110,1147,,801.3,,,2026-03-24,2026-03-24
92,skklslmmlle-11,-788,203,1882,,1710.7,,,2026-03-24,2026-03-24
93,drfranky001,-791,112,2400,,2203.3,,,2026-03-24,2026-03-24
94,momo0042,-802,135,1893,,1760.0,,,2026-03-24,2026-03-24
95,liamyoda2007,-864,127,2501,,2364.3,,,2026-03-24,2026-03-24
96,pippilotta_15,-869,137,1835,,1582.3,,,2026-03-24,2026-03-24
97,kevin_hoegy,-871,138,2624,,2486.7,,,2026-03-24,2026-03-24
98,destroyernumber1,-899,89,2522,,2521.3,,,2026-03-24,2026-03-24
99,royal_seeker,-928,98,2608,,2243.0,,,2026-03-24,2026-03-24
100,fusselplayer,-953,140,2156,,1990.7,,,2026-03-24,2026-03-24
101,schachisttoll,-982,84,1536,,1272.0,,,2026-03-24,2026-03-24
102,mattderkuerschner,-1027,135,2327,,2312.0,,,2026-03-24,2026-03-24
103,krukulu,-1039,144,2710,,2473.3,,,2026-03-24,2026-03-24
104,bruto130199,-1051,67,2313,,2340.0,,,2026-03-24,2026-03-24
105,jogru,-1085,95,2473,,2268.3,,,2026-03-24,2026-03-24
106,mx2009,-1093,106,1944,,1765.7,,,2026-03-24,2026-03-24
107,kathryna,-1103,120,2432,,2084.3,,,2026-03-24,2026-03-24
108,dontcallmeismael,-1117,174,2380,,2283.0,,,2026-03-24,2026-03-24
109,theoriegott,-1133,84,2445,,2085.3,,,2026-03-24,2026-03-24
110,ksnklbr,-1175,108,1867,,1723.7,,,2026-03-24,2026-03-24
111,karla2014,-1206,198,1359,,1012.7,,,2026-03-24,2026-03-24
112,jp_chessfan,-1208,224,2032,,1847.3,,,2026-03-24,2026-03-24
113,kokololo1,-1327,142,2389,,2131.7,,,2026-03-24,2026-03-24
114,fluentcoding,-1328,130,2307,,1634.7,,,2026-03-24,2026-03-24
115,chrissi08,-1365,180,2322,,1565.3,,,2026-03-24,2026-03-24
116,traenenlos345,-1428,81,2370,,2205.7,,,2026-03-24,2026-03-24
117,arturbh,-1446,195,1359,,1260.3,,,2026-03-24,2026-03-24
118,philipphilbenz,-1546,105,1911,,1432.0,,,2026-03-24,2026-03-24
119,crazyvictims,-1646,85,2367,,1955.7,,,2026-03-24,2026-03-24
120,miko539,-1677,77,1926,,1793.7,,,2026-03-24,2026-03-24
121,leonore,-1720,70,2517,,2163.3,,,2026-03-24,2026-03-24
122,wernelm,-1722,79,1812,,1544.7,,,2026-03-24,2026-03-24
123,floppyhigh,-1782,188,600,,1655.0,,,2026-03-24,2026-03-24
124,alwin2000,-1808,120,2560,,1958.0,,,2026-03-24,2026-03-24
125,lucky_76,-1928,142,2354,,1523.0,,,2026-03-24,2026-03-24
