date,username,bullet_rating,blitz_rating,rapid_rating,avg_bullet_blitz_rapid,puzzle_rating,puzzle_rating_deviation,puzzle_rating_progress,puzzles_solved_total,storm_best_score,racer_best_score
2026-03-25,hsj,2116,1845,1380,1780.3,1774,66,0,138,,
2026-03-25,commonelk,2347,2327,2295,2323.0,2101,83,0,5540,34,58
